Source,Target,Type,Id,Label,timeset,Weight
Cait,Shelke,Undirected,1119,,,5
Cait,Nero,Undirected,1120,,,3
Jenova,Nero,Undirected,1122,,,2
Rosso,Shalua,Undirected,1124,,,1
Rosso,Shelke,Undirected,1125,,,2
Rosso,Nero,Undirected,1126,,,4
Shalua,Shelke,Undirected,1127,,,115
Shelke,Nero,Undirected,1128,,,35
Shelke,Cid,Undirected,1129,,,6
Nero,Cid,Undirected,1130,,,1
Nero,Barret,Undirected,1131,,,1
Nero,Tifa,Undirected,1132,,,2
Biggs,Jessie,Undirected,661,,,29
Biggs,Cloud,Undirected,662,,,30
Biggs,Barret,Undirected,663,,,44
Biggs,Wedge,Undirected,664,,,18
Biggs,Tifa,Undirected,665,,,4
Biggs,Aerith,Undirected,666,,,1
Biggs,Marlene,Undirected,667,,,3
Jessie,Cloud,Undirected,668,,,49
Jessie,Barret,Undirected,669,,,45
Jessie,Wedge,Undirected,670,,,17
Jessie,Tifa,Undirected,671,,,7
Jessie,Aerith,Undirected,672,,,2
Jessie,Yuffie,Undirected,673,,,1
Jessie,Marlene,Undirected,674,,,4
Cloud,Wedge,Undirected,676,,,36
Cloud,President,Undirected,681,,,28
Cloud,Heidegger,Undirected,684,,,7
Cloud,Palmer,Undirected,688,,,8
Cloud,Scarlet,Undirected,689,,,4
Cloud,Hojo,Undirected,690,,,89
Cloud,Red,Undirected,691,,,297
Cloud,Bugenhagen,Undirected,697,,,79
Cloud,Shera,Undirected,700,,,15
Barret,Wedge,Undirected,702,,,35
Barret,Aerith,Undirected,704,,,208
Barret,President,Undirected,707,,,25
Barret,Sephiroth,Undirected,708,,,60
Barret,Heidegger,Undirected,710,,,8
Barret,Tseng,Undirected,712,,,1
Barret,Jenova,Undirected,713,,,7
Barret,Palmer,Undirected,714,,,1
Barret,Scarlet,Undirected,715,,,17
Barret,Hojo,Undirected,716,,,21
Barret,Red,Undirected,717,,,195
Barret,Bugenhagen,Undirected,722,,,8
Barret,Shera,Undirected,725,,,2
